mass u233f u233he u236f pu239h pu240f pu241f pu242f th232h np237f cf252s
66 3.99e-07n 0.000670k 8.30e-07n 6.23e-05l 8.88e-07n 1.88e-07n 2.90e-06n 0.000129i 1.87e-07l 5.26e-08n
67 1.60e-06n 0.001515l 2.08e-06n 9.82e-05l 1.33e-06n 1.31e-06n 5.79e-06n 0.000224j 3.73e-07l 1.44e-07n
68 4.88e-06n 0.001803n 4.15e-06n 0.000217l 3.11e-06n 2.82e-06n 8.69e-06n 0.000760j 1.88e-06l 3.84e-07n
69 1.33e-05n 0.002900n 9.34e-06n 0.000371l 4.88e-06n 1.03e-05n 1.16e-05n 0.001515j 6.89e-08l 9.91e-07n
70 5.32e-05n 0.004704n 2.08e-05n 0.000670l 1.19e-05n 3.28e-05n 2.90e-05n 0.002783j 2.44e-05l 2.39e-06m
71 0.000231n 0.007445n 5.19e-05n 0.001196l 3.41e-05n 8.45e-05n 5.79e-05n 0.005304j 6.19e-05l 6.02e-06n
72 0.000683n 0.013031j 0.000187n 0.002184l 0.000109j 0.000150n 0.000125n 0.007873j 0.000150l 1.41e-05n
73 0.001564m 0.018747l 0.000719m 0.003759k 0.000309m 0.000478m 0.000241n 0.016263j 0.000369k 3.21e-05n
74 0.003725n 0.028083l 0.003113n 0.005881l 0.000784n 0.001126n 0.000772n 0.030213j 0.000663l 7.06e-05n
75 0.011085n 0.043497l 0.008302n 0.010230l 0.001705n 0.002816n 0.001158n 0.053042j 0.001318l 0.000152n
76 0.019703n 0.066968l 0.022832n 0.016418l 0.004092n 0.005632n 0.002413n 0.090643j 0.006012l 0.000317n
77 0.037259m 0.101957l 0.045174m 0.023704k 0.010786m 0.009693l 0.006828m 0.130970j 0.010440k 0.000625m
78 0.062079n 0.154923l 0.058119n 0.041512l 0.022211m 0.018416l 0.013517n 0.249312j 0.024370k 0.002061k
79 0.097555n 0.230843l 0.114166n 0.086286k 0.041693m 0.035864l 0.033796n 0.413505j 0.056444k 0.003436n
