mass th227t th229t pa231f am241t am241h a242mt cm245t cf249t cf251t es254t
66 8.53e-08n 3.02e-08l 9.85e-05n 1.36e-07n 0.000339n 9.57e-06n 1.04e-06n 3.00e-07n 9.35e-05n 9.39e-09n
67 2.16e-07n 7.18e-08l 0.000177n 2.52e-07n 0.000726n 1.91e-05n 2.09e-06n 5.01e-07n 0.000140n 1.88e-08n
68 8.23e-07n 2.71e-07l 0.000345n 5.81e-07n 0.001162n 2.87e-05n 4.18e-06n 3.00e-06n 0.000187n 3.75e-08n
69 2.35e-06n 1.15e-06l 0.000689n 1.26e-06n 0.001937n 5.74e-05n 1.04e-05n 5.71e-06n 0.000281n 7.51e-08n
70 5.19e-06n 3.64e-06l 0.001280n 4.55e-06n 0.003200n 9.57e-05n 2.61e-05n 3.06e-05n 0.000374n 1.41e-07n
71 1.27e-05n 1.56e-05l 0.002462n 6.78e-06n 0.004842n 0.000191n 5.75e-05n 5.36e-05n 0.000468n 2.35e-07n
72 5.68e-05n 7.18e-05l 0.004432n 9.93e-06n 0.008716n 0.000478n 0.000104n 0.000109n 0.000655n 1.45e-07l
73 9.37e-05m 0.000260l 0.008903m 3.98e-05m 0.013559n 0.000957n 0.000209n 0.000214m 0.000954m 9.69e-07l
74 0.000265n 0.001041l 0.016742n 8.94e-05n 0.021308n 0.001722n 0.000460n 0.000533m 0.001216n 1.88e-06n
75 0.000784n 0.003383l 0.031514n 0.000248n 0.027118n 0.002871n 0.000773n 0.000956m 0.001777n 3.29e-06n
76 0.002256n 0.011973l 0.059124n 0.000517n 0.038940n 0.005746n 0.002091n 0.001913m 0.002340n 6.58e-06n
77 0.010891l 0.042056j 0.098926m 0.003383m 0.058663m 0.009695m 0.005158m 0.004620m 0.003340m 1.36e-05l
78 0.037246n 0.255851k 0.196972n 0.007148n 0.077482n 0.019138n 0.010448n 0.008172l 0.004676n 2.42e-05l
79 0.643541l 0.422800j 0.396969l 0.011939m 0.106546n 0.029353l 0.020448l 0.018454l 0.005806l 4.85e-05l
80 1.883283m 1.636491i 0.689483n 0.021847n 0.181000m 0.047855n 0.036582n 0.030261l 0.008420n 9.39e-05n
81 3.485008l 2.298120i 0.989297m 0.043684n 0.249329m 0.066983n 0.062692n 0.048030l 0.011223n 0.000235n
82 4.883868m 3.456487j 1.691246m 0.064077n 0.354041m 0.115419n 0.104844n 0.075751l 0.015551l 0.000424n
