mass u235t u235f u235h u238f u238h pu239t pu239f pu241t u233t th232f
66 7.22e-08n 7.23e-07m 0.000288j 3.71e-06n 7.82e-05k 2.21e-07o 8.68e-07l 1.67e-07l 2.50e-07o 1.13e-06n
67 3.61e-07m 2.32e-06m 0.000604j 2.15e-05n 0.000139l 4.48e-07n 2.87e-06l 5.05e-07l 1.12e-06o 3.90e-06n
68 7.16e-07n 4.03e-06m 0.000887k 2.80e-05n 0.000299l 1.62e-06n 8.42e-06l 1.41e-06l 3.43e-06o 1.43e-05n
69 1.57e-06n 8.70e-06m 0.001320n 3.58e-05n 0.000501l 5.89e-06n 3.12e-05l 3.64e-06l 9.41e-06o 3.30e-05n
70 3.62e-06m 1.89e-05m 0.002361k 4.41e-05m 0.000901l 1.99e-05m 8.69e-05l 1.40e-05l 3.67e-05o 6.54e-05m
71 8.38e-06n 4.65e-05m 0.003946k 4.95e-05n 0.001592l 3.67e-05n 0.000203n 5.24e-05l 0.000162o 0.000166m
72 2.65e-05k 0.000166m 0.006014j 6.05e-05n 0.002706k 0.000122o 0.000520n 2.43e-05m 0.000416n 0.000414l
73 0.000102m 0.000524l 0.011346k 0.000206m 0.005230k 0.000262m 0.000706m 5.78e-05l 0.001155l 0.000621l
74 0.000339m 0.001190m 0.017011k 0.000277n 0.008006l 0.000636n 0.001736l 9.48e-05m 0.002708m 0.001154l
75 0.001067k 0.003530m 0.026986k 0.000462n 0.013869l 0.001372l 0.002548m 0.000284m 0.007981m 0.002835l
76 0.003097j 0.017577k 0.040021k 0.000800m 0.021990l 0.002936l 0.005810l 0.000948m 0.013847m 0.006739l
77 0.007961j 0.031808k 0.066594k 0.003301k 0.031293j 0.007235k 0.012692j 0.001896m 0.025959l 0.011765j
78 0.020966j 0.057118k 0.099752k 0.011222m 0.057133l 0.018776m 0.022929m 0.011521l 0.053838l 0.035280k
79 0.044732i 0.090857k 0.167953k 0.032673m 0.133283l 0.043651f 0.060771j 0.014959l 0.143515l 0.076873k
80 0.128832h 0.175956k 0.253418k 0.042741l 0.212880l 0.093888m 0.092512l 0.029235l 0.234071l 0.194213l
81 0.203680g 0.228000k 0.341500k 0.086208m 0.333000k 0.183643l 0.141870k 0.062121l 0.367786h 0.469835k
82 0.324569g 0.340196k 0.593200k 0.213784l 0.453127l 0.229687m 0.218850j 0.136745j 0.586339g 1.075426l
83 0.536435b 0.576795d 1.100956h 0.396237e 0.667981g 0.296793b 0.315587c 0.201544e 1.014543d 2.169280f
84 1.002093c 1.030822e 1.509030k 0.825770e 1.123985g 0.480359d 0.498717d 0.351325f 1.689426d 4.026097e
85 1.318713a 1.363796c 1.666312g 0.743050d 1.005966e 0.574068a 0.604191b 0.406488e 2.237148d 4.167428e
86 1.965113b 1.946855d 1.828273m 1.296448d 1.571025g 0.766201b 0.789466d 0.594552f 2.844415e 6.587601f
87 2.560298b 2.543847d 2.450685h 1.625506d 1.686410f 1.003923b 1.043375d 0.752828f 4.018205e 7.073593g
88 3.575006c 3.494430c 3.430017i 2.028030e 2.175602f 1.329789d 1.329720c 0.990303e 5.465197e 7.260472f
89 4.733074d 4.373684e 4.123095g 2.761051e 2.921217f 1.722836f 1.725338f 1.233109g 6.340165e 7.467815g
90 5.782353d 5.465049c 4.594181g 3.246924e 3.189564g 2.104298f 2.048497c 1.535820e 6.789072e 7.924058h
91 5.828245c 5.733461c 4.823241h 4.039440f 3.867595f 2.486500d 2.516537d 1.864133e 6.485957d 7.363992f
92 6.021674c 5.846002c 5.103359j 4.312441g 3.879351f 3.009177c 3.037739c 2.308494e 6.552445d 6.920399g
93 6.346743c 6.254059c 5.193751i 4.913253f 4.529122g 3.797575c 3.825724c 2.978050e 6.978996d 6.697280h
94 6.472653c 6.300219c 5.097699k 4.610062g 4.694998i 4.321833d 4.233177c 3.391152e 6.831345e 5.562996h
95 6.503326c 6.432034b 5.175438g 5.140443d 4.891811f 4.818517d 4.671429d 3.925621e 6.349605d 5.652666f
96 6.340230d 6.202490c 5.207079j 6.017329h 5.575470k 4.893751d 4.856321c 4.401147e 5.678962d 4.776764l
97 5.997223c 6.002914b 5.520253i 5.562461c 5.280014e 5.414114d 5.297278b 4.801799e 5.515746d 4.425500f
98 5.790300c 5.923745b 5.436396k 5.944993d 5.464244k 5.830892d 5.633049c 5.035685f 5.189312d 3.680042i
99 6.109164d 5.943191d 5.136274g 6.168192e 5.705377d 6.211806e 5.982639f 5.961885f 4.910973e 2.944060f
100 6.292781c 6.298379d 3.950416k 6.697326d 4.998117k 6.774621e 6.544341c 6.254494f 4.459033e 1.370638i
101 5.172919d 5.124290e 3.452705k 6.209007e 5.697793g 6.019171e 6.669887d 6.231942f 3.171242e 0.713542k
102 4.298778d 4.359081d 3.254026k 6.447346d 4.621668j 6.126339e 6.731884d 6.655272f 2.402804d 0.367805k
103 3.031149d 3.243933e 3.205137g 6.275279e 4.615807f 6.994895f 6.829040e 6.776879g 1.573207f 0.155461h
104 1.880825d 2.072379d 2.479191l 5.035980d 4.026081h 6.094829d 6.584723c 7.179518f 0.980193f 0.090313k
105 0.964228e 1.196323g 1.872265h 4.051243e 3.215881e 5.643815f 5.361104g 6.074350g 0.495809g 0.051481g
106 0.401576d 0.532399d 1.609732h 2.489722e 2.454599g 4.350214f 4.365499e 6.103987f 0.246245f 0.048561j
107 0.146202g 0.302329k 1.285484k 1.445866j 1.694368i 3.330057h 3.221088i 4.886322j 0.114532h 0.051075k
108 0.054129h 0.130816l 1.178097k 0.601420l 1.222461l 2.163956h 2.002769j 3.769599j 0.075767h 0.061347l
109 0.031223i 0.081546h 1.173138i 0.252140i 1.122826i 1.477898h 1.036285k 2.587597h 0.039405l 0.066215h
