mass u234f u237f pu240h u234h u236h pu238f am241f am243f np238f cm242f
66 3.92e-06n 4.46e-07n 6.18e-05m 0.000446k 0.000185k 1.22e-06n 9.34e-07n 4.99e-07n 1.29e-07n 9.98e-07n
67 9.29e-06n 1.39e-06n 0.000132m 0.001052k 0.000406k 2.04e-06n 1.87e-06n 8.98e-07n 5.47e-07n 2.99e-06n
68 2.68e-05n 1.98e-06n 0.000245n 0.001472n 0.000787n 6.12e-06n 5.71e-06n 2.20e-06n 2.29e-06n 3.99e-06n
69 6.19e-05n 5.95e-06n 0.000501n 0.002060n 0.001096n 2.04e-05n 9.34e-06n 4.99e-06n 6.97e-06n 5.99e-06n
70 0.000207n 1.19e-05n 0.001002n 0.003436n 0.001994m 7.14e-05n 2.08e-05n 1.60e-05n 1.59e-05n 1.50e-05n
71 0.000516n 2.78e-05n 0.002146n 0.005298n 0.003088n 0.000183n 3.32e-05n 2.50e-05n 4.38e-05n 2.59e-05n
72 0.000634m 4.96e-05n 0.004575k 0.010425j 0.004685j 0.000428n 0.000135n 4.99e-05n 0.000159n 6.39e-05n
73 0.001074m 0.000298m 0.008405i 0.014800m 0.008177m 0.000461m 0.000349m 0.000120m 0.000299l 0.000200m
74 0.004143m 0.000991n 0.016348n 0.022567n 0.013944n 0.001267m 0.000685n 0.000280n 0.000648m 0.000399n
75 0.011764m 0.003172n 0.032695n 0.034342n 0.019920n 0.002433m 0.001350n 0.000699n 0.002890m 0.000898n
76 0.026097m 0.007334n 0.052206n 0.055061n 0.028895n 0.007862m 0.003644n 0.001299n 0.005233m 0.001364m
77 0.056774m 0.017887m 0.076151m 0.083869m 0.059830m 0.021288m 0.008729m 0.002896m 0.014451m 0.004942m
78 0.088793n 0.046589n 0.110352n 0.135411n 0.109573n 0.036494m 0.018485m 0.004992n 0.030398m 0.012980m
79 0.144550n 0.075342n 0.159412n 0.206237m 0.169365n 0.067414m 0.034404m 0.018970n 0.057810m 0.027956m
80 0.216850n 0.128942n 0.221860n 0.260171n 0.239304n 0.111522m 0.061629m 0.038955n 0.098687m 0.047489m
81 0.361367n 0.208182n 0.299399n 0.472964n 0.348707n 0.182472m 0.095508m 0.064894n 0.169432m 0.085865m
82 0.653781n 0.307337n 0.402437n 0.828336n 0.540249m 0.275110m 0.157605n 0.100272n 0.239364m 0.124796m
83 1.207121m 0.477178m 0.507700m 1.174167m 0.638303m 0.378619l 0.236196m 0.169797m 0.388699m 0.191277l
84 1.963561l 0.926643n 0.660155n 1.493364m 1.072087m 0.613372n 0.354250n 0.252693n 0.682940n 0.289891n
85 2.173022j 0.964954m 0.832866m 2.318464l 1.347133m 0.709709m 0.509810m 0.359741m 0.708002m 0.409372m
