mass cm243t cm246s cm243f cm244f cm246f cm248f pu242h np237t pu240t pu242t
66 3.42e-06n 2.16e-05o 9.50e-06n 7.30e-06n 4.11e-06n 2.08e-06n 2.08e-07n 4.88e-08n 1.60e-07n 4.97e-08n
67 8.56e-06n 0.000441o 1.80e-05n 1.30e-05n 7.53e-06n 3.66e-06n 4.17e-07n 8.78e-08n 3.10e-07n 9.95e-08n
68 2.12e-05n 0.000421o 3.40e-05n 2.50e-05n 1.40e-05n 6.83e-06n 7.33e-07n 4.88e-07n 9.39e-07n 2.29e-07n
69 4.70e-05n 0.000815o 6.70e-05n 4.80e-05n 2.91e-05n 1.29e-05n 1.56e-06n 1.95e-06n 2.98e-06n 4.97e-07n
70 8.56e-05n 0.000801o 0.000140n 9.61e-05n 5.72e-05n 2.58e-05m 3.12e-06m 5.85e-06n 9.99e-06n 1.79e-06n
71 0.000170n 0.001107o 0.000270n 0.000190n 0.000110n 5.25e-05n 5.22e-06n 1.46e-05n 1.80e-05n 2.69e-06n
72 0.000376n 0.001499o 0.000530n 0.000380n 0.000231n 0.000109n 1.14e-05n 2.93e-05n 5.99e-05n 9.95e-06n
73 0.000670m 0.002097o 0.001000m 0.000730m 0.000451m 0.000208m 1.86e-05m 8.85e-05m 0.000150m 2.99e-05m
74 0.001712n 0.002871o 0.002000n 0.001401n 0.000863n 0.000396n 5.22e-05n 0.000263n 0.000300n 7.96e-05n
75 0.004238n 0.004155o 0.003700n 0.002601n 0.001605n 0.000762n 5.22e-05n 0.000439n 0.000899n 0.000199n
76 0.008582n 0.005707o 0.006647n 0.004818n 0.003012n 0.001386n 0.000209n 0.001854n 0.001798n 0.000418n
77 0.017785m 0.007492n 0.012000n 0.008503m 0.005313m 0.002581m 0.005183m 0.004325m 0.005894m 0.002690m
78 0.029914n 0.011857o 0.020001n 0.015008n 0.009432n 0.004652n 0.014569n 0.012687n 0.016977n 0.006467n
79 0.051272n 0.017150o 0.034002n 0.025013n 0.016057n 0.008020n 0.029249n 0.026350n 0.015980n 0.007464n
80 0.085619n 0.025595o 0.055038n 0.041035n 0.027108n 0.013878n 0.055415n 0.035167n 0.038968n 0.019920n
81 0.158714n 0.039200o 0.087004n 0.066034n 0.043153n 0.022777n 0.091987n 0.117108n 0.109853n 0.040801n
82 0.246251n 0.057134o 0.133216n 0.101318n 0.068418n 0.036653n 0.134639n 0.175875n 0.120049n 0.060722n
83 0.355703m 0.083109n 0.199998m 0.160054m 0.100249m 0.057603m 0.218992m 0.341803l 0.249766m 0.139571m
84 0.421916n 0.099802o 0.300797n 0.231209n 0.163345n 0.092479n 0.353737n 0.504681n 0.421773n 0.286289n
85 0.406853m 0.159790n 0.420051m 0.330181m 0.230783m 0.129404m 0.674781h 1.004938j 0.469720m 0.329257m
86 0.550524m 0.184031n 0.585856m 0.464337m 0.324214n 0.190041n 0.830466n 1.141117m 0.684139n 0.501334n
87 0.717813n 0.292597n 0.782941n 0.634178n 0.456513n 0.281081n 0.999695j 1.857655j 0.837637n 0.684730n
88 0.776808n 0.364701n 1.003472m 0.844165n 0.620735n 0.385740n 1.180816j 2.253053j 1.201259m 0.868460n
89 1.058497m 0.569279n 1.301320m 1.103167m 0.808538n 0.526878n 1.345949k 2.819611l 1.324100m 0.924308n
90 1.136520m 0.635261n 1.600331m 1.401007m 1.004433m 0.677513m 1.533371m 3.442702l 1.840562l 1.238810m
91 1.155202i 0.701050n 1.900159m 1.700750m 1.303979m 0.876133m 2.124179j 3.661816j 2.208392m 1.685824m
92 1.377563l 0.969182n 2.303857m 2.006985m 1.610599m 1.096403m 2.397422j 4.175698i 2.683834l 2.047368m
93 1.794693k 1.243862n 2.608430l 2.417954l 1.947100l 1.441356m 2.647926k 4.824462j 3.460291l 2.683496l
94 2.207092k 1.463276n 3.001639m 2.804011m 2.213912l 1.717995m 2.826936k 5.019365k 3.896098l 3.156832l
95 2.893548h 1.976309l 3.228403k 3.016501j 2.327108k 2.052410j 3.393017j 5.681872j 4.689112l 3.780645l
96 3.346583l 2.278779m 3.622052l 3.609472l 2.909138l 2.296173l 3.857548l 5.675136l 4.730495l 4.255794l
97 3.960518h 2.363460k 4.000712l 4.102079l 3.307764l 2.689426l 4.250292i 5.853327i 5.168953l 4.513259l
98 4.739465l 3.334578l 4.402346l 4.605646l 3.819868k 3.094768m 4.563730k 5.910276l 5.948129l 5.621140k
99 5.021762h 4.225438j 4.900341k 5.101816l 4.308126k 3.594600k 5.127936i 6.612058i 5.968915k 5.995629k
100 5.429661l 4.716195l 5.503917k 5.702185k 4.908335l 4.085070k 5.064528l 5.344593l 6.695368l 6.148659k
101 5.946531j 5.470746l 6.100085l 6.201489l 5.409126l 4.675793l 5.085941k 6.640116j 5.925860l 6.094089l
102 8.702216k 6.139192k 6.600228l 6.501772l 6.010530l 5.372696l 5.368715l 5.088098l 6.156005l 6.134488l
103 6.421727h 6.835643j 6.900187l 6.701817l 6.411477l 5.970477l 5.676476j 5.778366j 5.966247l 6.234774l
104 6.714521j 6.954057l 6.901156l 6.703418l 6.723471l 6.499667l 5.509407k 3.881990j 6.111221l 6.254705l
105 6.383824h 6.795922j 6.600092k 6.401184k 6.808940k 6.879708k 5.550813i 2.647381k 5.656419l 6.006371l
106 5.910693k 6.731699l 6.000084l 5.901417l 6.611154l 6.963948l 5.064454l 3.299610l 5.266321l 5.934506l
107 5.666908k 6.606551k 5.200072l 5.201249l 6.210478l 6.764978l 3.834644k 2.410494l 4.197068l 5.485678l
108 4.306337l 6.007434l 4.200135l 4.301147l 5.510196l 6.369620l 3.039441l 1.778680l 3.267952l 4.449664l
109 4.105321k 5.512780k 3.200066l 3.401232m 4.706985k 5.786775k 2.546623j 1.101409m 2.148744l 3.505540k
110 2.625986m 4.845288l 2.203500m 2.602558m 3.806493l 4.974249l 2.329649l 0.536698n 1.458981l 2.603203l
111 1.849240l 4.309427l 1.500030m 1.900456l 2.904901l 4.078884l 2.234185j 0.136614n 0.399442n 1.105912m
112 2.355469k 4.029611k 0.960019m 1.300442m 2.105019m 3.183519l 1.932375j 0.058549n 0.199721n 0.397917n
113 0.466983n 1.752167m 0.590016n 0.850289m 1.503585m 2.387639l 1.780168i 0.039033n 0.109891m 0.259042m
